Last Name,First Name,Birth Date,Gender,Max Events,Morning Available,Afternoon Available,Excluded Strokes,Free_25,Free_50,Free_100,Free_200,Back_25,Back_50,Back_100,Breast_25,Breast_50,Breast_100,Fly_25,Fly_50,Fly_100
Smith,John,1992-03-15,M,6,Y,Y,,12.5,26.2,58.3,130.5,14.2,30.1,68.5,16.8,35.2,78.9,13.9,28.7,65.2
Johnson,Mike,1988-07-22,M,6,Y,Y,Fly,13.1,27.5,61.2,135.8,15.1,31.8,70.2,17.2,36.5,81.3,,,
Williams,David,1995-11-08,M,6,Y,N,,12.8,26.9,60.1,133.2,14.8,31.2,69.8,16.5,34.8,77.5,14.2,29.5,66.8
Brown,Robert,1990-05-30,M,5,Y,Y,,13.5,28.2,62.5,138.9,15.5,32.5,72.1,17.8,37.2,83.5,14.8,30.8,68.9
Davis,James,1993-09-12,M,6,N,Y,Breast,12.2,25.8,57.5,128.5,13.8,29.5,66.8,,,,,13.5,28.2,63.5
Miller,Chris,1987-02-28,M,4,Y,Y,,13.8,29.1,64.2,142.5,16.2,33.8,74.5,18.5,38.5,85.8,15.2,31.5,70.5
Wilson,Tom,1994-06-18,M,6,Y,Y,,12.9,27.2,60.8,134.5,15.0,31.5,70.5,17.0,35.8,80.2,14.0,29.2,65.8
Anderson,Sarah,1991-04-20,F,6,Y,Y,,14.2,29.8,65.5,145.2,16.5,34.5,76.2,19.2,39.8,88.5,15.8,32.5,72.5
Taylor,Emily,1989-08-14,F,6,Y,Y,Fly,13.8,29.2,64.8,143.5,16.2,33.8,75.2,18.8,39.2,87.2,,,
Thomas,Jessica,1996-12-05,F,6,Y,N,,13.5,28.5,63.2,140.8,15.8,33.2,73.8,18.2,38.2,85.5,15.2,31.8,71.2
Martin,Ashley,1992-10-25,F,5,Y,Y,,14.5,30.2,66.8,147.5,16.8,35.2,77.5,19.5,40.5,89.8,16.2,33.2,73.8
Garcia,Maria,1990-01-15,F,6,N,Y,Breast,13.2,28.0,62.5,138.8,15.5,32.8,72.5,,,,,14.8,31.2,69.8
Rodriguez,Lisa,1988-03-10,F,4,Y,Y,,14.8,31.0,68.2,150.5,17.2,35.8,78.8,20.2,41.5,91.5,16.5,33.8,75.2
Martinez,Amy,1994-07-28,F,6,Y,Y,,13.0,27.5,61.8,137.2,15.2,32.2,71.8,17.8,37.5,84.2,14.5,30.5,68.5
Lee,Kevin,1985-09-15,M,6,Y,Y,,14.2,29.8,65.2,144.5,16.8,34.8,76.5,19.0,39.5,87.8,15.5,32.0,71.5
Park,Daniel,1991-11-20,M,6,Y,Y,,13.2,27.8,61.5,136.5,15.3,32.0,71.0,17.5,36.8,82.2,14.3,29.8,67.2
Kim,Brian,1993-05-05,M,6,Y,Y,Back,12.7,26.5,59.2,131.8,,,,,16.2,34.2,76.8,13.7,28.5,64.5
Chen,William,1987-08-18,M,6,Y,Y,,13.9,29.3,64.5,143.2,16.0,33.5,74.2,18.3,38.0,84.8,15.0,31.2,69.8
Wang,Jennifer,1990-06-12,F,6,Y,Y,,14.0,29.5,65.0,144.0,16.3,34.0,75.5,19.0,39.5,88.0,15.5,32.0,71.5
Liu,Michelle,1988-12-30,F,6,Y,Y,,13.7,29.0,64.2,142.5,16.0,33.5,74.8,18.5,38.8,86.8,15.0,31.5,70.8
